cluster_id,distance,x0,x1,
0,0,-18.2467,-67.3734,
1,0,19.1221,-60.5448,
2,0,2.14648,-99.4061,
3,0,30.5202,35.5371,
4,0,52.6061,3.91896,
5,0,-77.3718,-38.7971,
6,0,-37.1734,33.3,
7,0,-3.33863,22.7341,
8,0,-56.3637,-75.7278,
9,0,-21.2427,-4.60499,
10,0,87.415,7.32446,
11,0,-3.36118,88.879,
12,0,53.2342,-73.6995,
13,0,36.8383,75.1439,
14,0,-0.737584,-32.8718,
15,0,-91.7692,-2.12585,
16,0,-4.65925,56.3472,
17,0,40.1397,-31.5406,
18,0,-46.8522,70.7659,
19,0,76.9157,-35.0868,
20,0,69.4031,46.4158,
21,0,17.5385,-2.83586,
22,0,-77.6698,37.9397,
23,0,-39.4336,-36.2448,
24,0,-56.2553,0.767044,
